Producing root output for Run00820...
Error in <TGClient::TGClient>: can't open display "localhost:11.0", switching to batch mode...
 In case you run from a remote ssh session, reconnect with ssh -Y
Event start:
  event id:       0x8000
Processed 30500 events.  Analysis rate = 34865.072171 events/seconds. 
Processed 31000 events.  Analysis rate = 27821.054974 events/seconds. 
Processed 31500 events.  Analysis rate = 164473.684211 events/seconds. 
Processed 32000 events.  Analysis rate = 24928.952485 events/seconds. 
Processed 32500 events.  Analysis rate = 38464.497269 events/seconds. 
Processed 33000 events.  Analysis rate = 63235.108132 events/seconds. 
Processed 33500 events.  Analysis rate = 26135.591448 events/seconds. 
Processed 34000 events.  Analysis rate = 59290.881062 events/seconds. 
Processed 34500 events.  Analysis rate = 35747.479803 events/seconds. 
Processed 35000 events.  Analysis rate = 27589.251228 events/seconds. 
Processed 35500 events.  Analysis rate = 168406.871000 events/seconds. 
Processed 36000 events.  Analysis rate = 26290.882322 events/seconds. 
Processed 36500 events.  Analysis rate = 37636.432066 events/seconds. 
Processed 37000 events.  Analysis rate = 64842.432888 events/seconds. 
Processed 37500 events.  Analysis rate = 24957.572127 events/seconds. 
Processed 38000 events.  Analysis rate = 66818.121074 events/seconds. 
Processed 38500 events.  Analysis rate = 40041.643309 events/seconds. 
Processed 39000 events.  Analysis rate = 25445.292621 events/seconds. 
Processed 39500 events.  Analysis rate = 126294.518818 events/seconds. 
Processed 40000 events.  Analysis rate = 28696.051423 events/seconds. 
Processed 40500 events.  Analysis rate = 33062.223104 events/seconds. 
Processed 41000 events.  Analysis rate = 81632.653061 events/seconds. 
Processed 41500 events.  Analysis rate = 26171.159382 events/seconds. 
Processed 42000 events.  Analysis rate = 50347.397040 events/seconds. 
Processed 42500 events.  Analysis rate = 40273.862263 events/seconds. 
Processed 43000 events.  Analysis rate = 25893.319524 events/seconds. 
Processed 43500 events.  Analysis rate = 128501.670522 events/seconds. 
Processed 44000 events.  Analysis rate = 29289.438229 events/seconds. 
Processed 44500 events.  Analysis rate = 33198.326804 events/seconds. 
Processed 45000 events.  Analysis rate = 83640.013382 events/seconds. 
Processed 45500 events.  Analysis rate = 24958.817950 events/seconds. 
Processed 46000 events.  Analysis rate = 48933.255040 events/seconds. 
Processed 46500 events.  Analysis rate = 50869.874860 events/seconds. 
Processed 47000 events.  Analysis rate = 23729.296189 events/seconds. 
Processed 47500 events.  Analysis rate = 115660.421004 events/seconds. 
Processed 48000 events.  Analysis rate = 31863.369870 events/seconds. 
Processed 48500 events.  Analysis rate = 30257.186082 events/seconds. 
Processed 49000 events.  Analysis rate = 112410.071942 events/seconds. 
Processed 49500 events.  Analysis rate = 24862.015812 events/seconds. 
Processed 50000 events.  Analysis rate = 46593.980058 events/seconds. 
Processed 50500 events.  Analysis rate = 46992.481203 events/seconds. 
Processed 51000 events.  Analysis rate = 25889.297364 events/seconds. 
Processed 51500 events.  Analysis rate = 75063.804234 events/seconds. 
Processed 52000 events.  Analysis rate = 32611.531438 events/seconds. 
Processed 52500 events.  Analysis rate = 29584.048281 events/seconds. 
Processed 53000 events.  Analysis rate = 159744.408946 events/seconds. 
Processed 53500 events.  Analysis rate = 24926.466923 events/seconds. 
Processed 54000 events.  Analysis rate = 41473.125415 events/seconds. 
Processed 54500 events.  Analysis rate = 55629.728527 events/seconds. 
Processed 55000 events.  Analysis rate = 24921.497284 events/seconds. 
Processed 55500 events.  Analysis rate = 81353.726001 events/seconds. 
Processed 56000 events.  Analysis rate = 35932.447000 events/seconds. 
Processed 56500 events.  Analysis rate = 27300.027300 events/seconds. 
Processed 57000 events.  Analysis rate = 125722.906714 events/seconds. 
Processed 57500 events.  Analysis rate = 26535.052805 events/seconds. 
Processed 58000 events.  Analysis rate = 37196.845707 events/seconds. 
Processed 58500 events.  Analysis rate = 66172.578084 events/seconds. 
Processed 59000 events.  Analysis rate = 26007.802341 events/seconds. 
Processed 59500 events.  Analysis rate = 56529.112493 events/seconds. 
Processed 60000 events.  Analysis rate = 36775.522212 events/seconds. 
Processed 60500 events.  Analysis rate = 26793.848132 events/seconds. 
Processed 61000 events.  Analysis rate = 172890.733057 events/seconds. 
Processed 61500 events.  Analysis rate = 27005.130975 events/seconds. 
Processed 62000 events.  Analysis rate = 36379.511059 events/seconds. 
Processed 62500 events.  Analysis rate = 68540.095956 events/seconds. 
Processed 63000 events.  Analysis rate = 24963.802486 events/seconds. 
Processed 63500 events.  Analysis rate = 56401.579244 events/seconds. 
Processed 64000 events.  Analysis rate = 44822.949350 events/seconds. 
Processed 64500 events.  Analysis rate = 23737.181922 events/seconds. 
Processed 65000 events.  Analysis rate = 166555.629580 events/seconds. 
Processed 65500 events.  Analysis rate = 29327.233269 events/seconds. 
Processed 66000 events.  Analysis rate = 33053.480531 events/seconds. 
Processed 66500 events.  Analysis rate = 85178.875639 events/seconds. 
Processed 67000 events.  Analysis rate = 24660.912454 events/seconds. 
Processed 67500 events.  Analysis rate = 52007.489078 events/seconds. 
Processed 68000 events.  Analysis rate = 42358.522535 events/seconds. 
Processed 68500 events.  Analysis rate = 26147.892480 events/seconds. 
Processed 69000 events.  Analysis rate = 95657.164722 events/seconds. 
Processed 69500 events.  Analysis rate = 29808.036247 events/seconds. 
Processed 70000 events.  Analysis rate = 32253.902722 events/seconds. 
Processed 70500 events.  Analysis rate = 110156.422119 events/seconds. 
Processed 71000 events.  Analysis rate = 26841.314151 events/seconds. 
Processed 71500 events.  Analysis rate = 41566.214980 events/seconds. 
Processed 72000 events.  Analysis rate = 47989.250408 events/seconds. 
Processed 72500 events.  Analysis rate = 26835.551739 events/seconds. 
Processed 73000 events.  Analysis rate = 81552.764639 events/seconds. 
Processed 73500 events.  Analysis rate = 32628.556513 events/seconds. 
Processed 74000 events.  Analysis rate = 29442.939583 events/seconds. 
Processed 74500 events.  Analysis rate = 168804.861580 events/seconds. 
Processed 75000 events.  Analysis rate = 23598.263168 events/seconds. 
Processed 75500 events.  Analysis rate = 45244.774229 events/seconds. 
Processed 76000 events.  Analysis rate = 55940.926382 events/seconds. 
Processed 76500 events.  Analysis rate = 24177.949710 events/seconds. 
Processed 77000 events.  Analysis rate = 71540.992989 events/seconds. 
Processed 77500 events.  Analysis rate = 36780.932764 events/seconds. 
Processed 78000 events.  Analysis rate = 26780.931976 events/seconds. 
Processed 78500 events.  Analysis rate = 169262.017603 events/seconds. 
Processed 79000 events.  Analysis rate = 27107.617240 events/seconds. 
Processed 79500 events.  Analysis rate = 36213.514884 events/seconds. 
Processed 80000 events.  Analysis rate = 57570.523892 events/seconds. 
Processed 80500 events.  Analysis rate = 26860.059092 events/seconds. 
Processed 81000 events.  Analysis rate = 63243.106501 events/seconds. 
Processed 81500 events.  Analysis rate = 36993.193252 events/seconds. 
Processed 82000 events.  Analysis rate = 26867.275658 events/seconds. 
Processed 82500 events.  Analysis rate = 122880.314574 events/seconds. 
Processed 83000 events.  Analysis rate = 27178.344295 events/seconds. 
Processed 83500 events.  Analysis rate = 36226.633821 events/seconds. 
Processed 84000 events.  Analysis rate = 80814.611282 events/seconds. 
Processed 84500 events.  Analysis rate = 23096.821877 events/seconds. 
Processed 85000 events.  Analysis rate = 63865.116873 events/seconds. 
Processed 85500 events.  Analysis rate = 42509.777249 events/seconds. 
Processed 86000 events.  Analysis rate = 24968.789014 events/seconds. 
Processed 86500 events.  Analysis rate = 145222.189951 events/seconds. 
Processed 87000 events.  Analysis rate = 30138.637734 events/seconds. 
Processed 87500 events.  Analysis rate = 32177.102774 events/seconds. 
Processed 88000 events.  Analysis rate = 77423.350883 events/seconds. 
Processed 88500 events.  Analysis rate = 26190.351475 events/seconds. 
Processed 89000 events.  Analysis rate = 46855.964764 events/seconds. 
Processed 89500 events.  Analysis rate = 48548.402758 events/seconds. 
Processed 90000 events.  Analysis rate = 24852.129828 events/seconds. 
Processed 90500 events.  Analysis rate = 103842.159917 events/seconds. 
Processed 91000 events.  Analysis rate = 29959.853796 events/seconds. 
Processed 91500 events.  Analysis rate = 32032.801589 events/seconds. 
Processed 92000 events.  Analysis rate = 126486.213003 events/seconds. 
Processed 92500 events.  Analysis rate = 23530.519083 events/seconds. 
Processed 93000 events.  Analysis rate = 47998.464049 events/seconds. 
Processed 93500 events.  Analysis rate = 49990.002000 events/seconds. 
Processed 94000 events.  Analysis rate = 24962.556166 events/seconds. 
Processed 94500 events.  Analysis rate = 80814.611282 events/seconds. 
Processed 95000 events.  Analysis rate = 33638.320775 events/seconds. 
Processed 95500 events.  Analysis rate = 28758.771425 events/seconds. 
Processed 96000 events.  Analysis rate = 139159.476760 events/seconds. 
Processed 96500 events.  Analysis rate = 26195.840101 events/seconds. 
Processed 97000 events.  Analysis rate = 39974.416374 events/seconds. 
Processed 97500 events.  Analysis rate = 52803.886366 events/seconds. 
Processed 98000 events.  Analysis rate = 26186.236514 events/seconds. 
Processed 98500 events.  Analysis rate = 75780.539557 events/seconds. 
Processed 99000 events.  Analysis rate = 34814.092745 events/seconds. 
Processed 99500 events.  Analysis rate = 28006.497507 events/seconds. 
Processed 100000 events.  Analysis rate = 126262.626263 events/seconds. 
Processed 100500 events.  Analysis rate = 25699.013158 events/seconds. 
Processed 101000 events.  Analysis rate = 37861.578071 events/seconds. 
Processed 101500 events.  Analysis rate = 69608.798552 events/seconds. 
Processed 102000 events.  Analysis rate = 24995.001000 events/seconds. 
Processed 102500 events.  Analysis rate = 62664.494298 events/seconds. 
Processed 103000 events.  Analysis rate = 38317.112422 events/seconds. 
Processed 103500 events.  Analysis rate = 26141.057144 events/seconds. 
Processed 104000 events.  Analysis rate = 166223.404255 events/seconds. 
Processed 104500 events.  Analysis rate = 27898.672023 events/seconds. 
Processed 105000 events.  Analysis rate = 34974.818131 events/seconds. 
Processed 105500 events.  Analysis rate = 61477.929423 events/seconds. 
Processed 106000 events.  Analysis rate = 26925.148088 events/seconds. 
Processed 106500 events.  Analysis rate = 52994.170641 events/seconds. 
Processed 107000 events.  Analysis rate = 41739.711161 events/seconds. 
Processed 107500 events.  Analysis rate = 25531.045752 events/seconds. 
Processed 108000 events.  Analysis rate = 139275.766017 events/seconds. 
Processed 108500 events.  Analysis rate = 28009.635315 events/seconds. 
Processed 109000 events.  Analysis rate = 35188.964741 events/seconds. 
Processed 109500 events.  Analysis rate = 86460.314716 events/seconds. 
Processed 110000 events.  Analysis rate = 23174.971031 events/seconds. 
Processed 110500 events.  Analysis rate = 60775.495320 events/seconds. 
Processed 111000 events.  Analysis rate = 44365.572316 events/seconds. 
Processed 111500 events.  Analysis rate = 24978.768047 events/seconds. 
Processed 112000 events.  Analysis rate = 129500.129500 events/seconds. 
Processed 112500 events.  Analysis rate = 30931.023817 events/seconds. 
Processed 113000 events.  Analysis rate = 29366.850699 events/seconds. 
Processed 113500 events.  Analysis rate = 101791.530945 events/seconds. 
Processed 114000 events.  Analysis rate = 26082.420449 events/seconds. 
Processed 114500 events.  Analysis rate = 44165.709743 events/seconds. 
Processed 115000 events.  Analysis rate = 57550.644567 events/seconds. 
Processed 115500 events.  Analysis rate = 23207.240659 events/seconds. 
Processed 116000 events.  Analysis rate = 94894.666920 events/seconds. 
Processed 116500 events.  Analysis rate = 33928.207912 events/seconds. 
Processed 117000 events.  Analysis rate = 28246.991695 events/seconds. 
Processed 117500 events.  Analysis rate = 124316.260567 events/seconds. 
Processed 118000 events.  Analysis rate = 25375.558262 events/seconds. 
Processed 118500 events.  Analysis rate = 41953.347877 events/seconds. 
Processed 119000 events.  Analysis rate = 52498.950021 events/seconds. 
Processed 119500 events.  Analysis rate = 26858.616244 events/seconds. 
Processed 120000 events.  Analysis rate = 62680.205591 events/seconds. 
Processed 120500 events.  Analysis rate = 34454.244763 events/seconds. 
Processed 121000 events.  Analysis rate = 28194.428781 events/seconds. 
Processed 121500 events.  Analysis rate = 169836.956522 events/seconds. 
Processed 122000 events.  Analysis rate = 25881.256794 events/seconds. 
Processed 122500 events.  Analysis rate = 38856.077090 events/seconds. 
Processed 123000 events.  Analysis rate = 65223.062875 events/seconds. 
Processed 123500 events.  Analysis rate = 24405.720701 events/seconds. 
Processed 124000 events.  Analysis rate = 71225.071225 events/seconds. 
Processed 124500 events.  Analysis rate = 39929.723686 events/seconds. 
Processed 125000 events.  Analysis rate = 25451.768898 events/seconds. 
Processed 125500 events.  Analysis rate = 126103.404792 events/seconds. 
Processed 126000 events.  Analysis rate = 28384.899234 events/seconds. 
Processed 126500 events.  Analysis rate = 33335.555704 events/seconds. 
Processed 127000 events.  Analysis rate = 73953.557166 events/seconds. 
Processed 127500 events.  Analysis rate = 26890.394751 events/seconds. 
Processed 128000 events.  Analysis rate = 51208.521098 events/seconds. 
Processed 128500 events.  Analysis rate = 39366.978978 events/seconds. 
Processed 129000 events.  Analysis rate = 26930.949047 events/seconds. 
Processed 129500 events.  Analysis rate = 128008.192524 events/seconds. 
Processed 130000 events.  Analysis rate = 28545.329984 events/seconds. 
Processed 130500 events.  Analysis rate = 34293.552812 events/seconds. 
Processed 131000 events.  Analysis rate = 83906.695754 events/seconds. 
Processed 131500 events.  Analysis rate = 24416.446919 events/seconds. 
Processed 132000 events.  Analysis rate = 51514.527097 events/seconds. 
Processed 132500 events.  Analysis rate = 50900.946758 events/seconds. 
Processed 133000 events.  Analysis rate = 23291.563796 events/seconds. 
Processed 133500 events.  Analysis rate = 129836.406128 events/seconds. 
Processed 134000 events.  Analysis rate = 31326.357998 events/seconds. 
Processed 134500 events.  Analysis rate = 29904.306220 events/seconds. 
Processed 135000 events.  Analysis rate = 99800.399202 events/seconds. 
Processed 135500 events.  Analysis rate = 25499.796002 events/seconds. 
Processed 136000 events.  Analysis rate = 47523.999620 events/seconds. 
Processed 136500 events.  Analysis rate = 46010.858563 events/seconds. 
Processed 137000 events.  Analysis rate = 26901.969224 events/seconds. 
Processed 137500 events.  Analysis rate = 74638.005672 events/seconds. 
Processed 138000 events.  Analysis rate = 31784.374801 events/seconds. 
Processed 138500 events.  Analysis rate = 30417.325709 events/seconds. 
Processed 139000 events.  Analysis rate = 163880.694854 events/seconds. 
Processed 139500 events.  Analysis rate = 24422.410003 events/seconds. 
Processed 140000 events.  Analysis rate = 43260.079599 events/seconds. 
Processed 140500 events.  Analysis rate = 62539.086929 events/seconds. 
Processed 141000 events.  Analysis rate = 23267.718368 events/seconds. 
Processed 141500 events.  Analysis rate = 88952.143747 events/seconds. 
Processed 142000 events.  Analysis rate = 35878.300804 events/seconds. 
Processed 142500 events.  Analysis rate = 27439.359017 events/seconds. 
Processed 143000 events.  Analysis rate = 135025.654874 events/seconds. 
Processed 143500 events.  Analysis rate = 25466.028318 events/seconds. 
Processed 144000 events.  Analysis rate = 37824.343748 events/seconds. 
Processed 144500 events.  Analysis rate = 64951.935568 events/seconds. 
Processed 145000 events.  Analysis rate = 26226.068712 events/seconds. 
Processed 145500 events.  Analysis rate = 59672.992004 events/seconds. 
Processed 146000 events.  Analysis rate = 36892.200989 events/seconds. 
Processed 146500 events.  Analysis rate = 26851.404328 events/seconds. 
Processed 147000 events.  Analysis rate = 168634.064081 events/seconds. 
Processed 147500 events.  Analysis rate = 27141.461296 events/seconds. 
Processed 148000 events.  Analysis rate = 36337.209302 events/seconds. 
Processed 148500 events.  Analysis rate = 69070.313579 events/seconds. 
Processed 149000 events.  Analysis rate = 24976.272541 events/seconds. 
Processed 149500 events.  Analysis rate = 63315.182981 events/seconds. 
Processed 150000 events.  Analysis rate = 41339.396445 events/seconds. 
Processed 150500 events.  Analysis rate = 24975.024975 events/seconds. 
Processed 151000 events.  Analysis rate = 110815.602837 events/seconds. 
Processed 151500 events.  Analysis rate = 30171.373401 events/seconds. 
Processed 152000 events.  Analysis rate = 32408.607726 events/seconds. 
Processed 152500 events.  Analysis rate = 83180.835136 events/seconds. 
Processed 153000 events.  Analysis rate = 26212.319790 events/seconds. 
Processed 153500 events.  Analysis rate = 49593.334656 events/seconds. 
Processed 154000 events.  Analysis rate = 41928.721174 events/seconds. 
Processed 154500 events.  Analysis rate = 26915.002422 events/seconds. 
Processed 155000 events.  Analysis rate = 106883.283454 events/seconds. 
Processed 155500 events.  Analysis rate = 29884.645269 events/seconds. 
Processed 156000 events.  Analysis rate = 32372.936225 events/seconds. 
Processed 156500 events.  Analysis rate = 98444.575704 events/seconds. 
Processed 157000 events.  Analysis rate = 24416.446919 events/seconds. 
Processed 157500 events.  Analysis rate = 47160.913035 events/seconds. 
Processed 158000 events.  Analysis rate = 56211.354694 events/seconds. 
Processed 158500 events.  Analysis rate = 23254.732338 events/seconds. 
Processed 159000 events.  Analysis rate = 104405.930257 events/seconds. 
Processed 159500 events.  Analysis rate = 33937.419399 events/seconds. 
Processed 160000 events.  Analysis rate = 28742.239595 events/seconds. 
Processed 160500 events.  Analysis rate = 112082.492715 events/seconds. 
Processed 161000 events.  Analysis rate = 22969.496509 events/seconds. 
Processed 161500 events.  Analysis rate = 43656.683838 events/seconds. 
Processed 162000 events.  Analysis rate = 50060.072087 events/seconds. 
Processed 162500 events.  Analysis rate = 26884.611249 events/seconds. 
Processed 163000 events.  Analysis rate = 66666.666667 events/seconds. 
Processed 163500 events.  Analysis rate = 33471.682956 events/seconds. 
Processed 164000 events.  Analysis rate = 29078.220413 events/seconds. 
Processed 164500 events.  Analysis rate = 168463.611860 events/seconds. 
Processed 165000 events.  Analysis rate = 27129.679870 events/seconds. 
Processed 165500 events.  Analysis rate = 36324.010171 events/seconds. 
Processed 166000 events.  Analysis rate = 61124.694377 events/seconds. 
Processed 166500 events.  Analysis rate = 26266.022274 events/seconds. 
Processed 167000 events.  Analysis rate = 63203.134875 events/seconds. 
Processed 167500 events.  Analysis rate = 38372.985418 events/seconds. 
Processed 168000 events.  Analysis rate = 26881.720430 events/seconds. 
Processed 168500 events.  Analysis rate = 109361.329834 events/seconds. 
Processed 169000 events.  Analysis rate = 27606.007067 events/seconds. 
Processed 169500 events.  Analysis rate = 34633.234051 events/seconds. 
Processed 170000 events.  Analysis rate = 84961.767205 events/seconds. 
Processed 170500 events.  Analysis rate = 24967.542195 events/seconds. 
Processed 171000 events.  Analysis rate = 53699.924820 events/seconds. 
Processed 171500 events.  Analysis rate = 42625.745951 events/seconds. 
Processed 172000 events.  Analysis rate = 24997.500250 events/seconds. 
Processed 172500 events.  Analysis rate = 146412.884334 events/seconds. 
Processed 173000 events.  Analysis rate = 31086.794330 events/seconds. 
Processed 173500 events.  Analysis rate = 31267.588018 events/seconds. 
Processed 174000 events.  Analysis rate = 77423.350883 events/seconds. 
Processed 174500 events.  Analysis rate = 26923.698239 events/seconds. 
Processed 175000 events.  Analysis rate = 44927.666457 events/seconds. 
Processed 175500 events.  Analysis rate = 48567.265663 events/seconds. 
Processed 176000 events.  Analysis rate = 24921.497284 events/seconds. 
Processed 176500 events.  Analysis rate = 104123.281966 events/seconds. 
Processed 177000 events.  Analysis rate = 30532.486566 events/seconds. 
Processed 177500 events.  Analysis rate = 30988.534242 events/seconds. 
Processed 178000 events.  Analysis rate = 121418.164157 events/seconds. 
Processed 178500 events.  Analysis rate = 23812.925656 events/seconds. 
Processed 179000 events.  Analysis rate = 49935.084390 events/seconds. 
Processed 179500 events.  Analysis rate = 52592.826338 events/seconds. 
Processed 180000 events.  Analysis rate = 24390.243902 events/seconds. 
Processed 180500 events.  Analysis rate = 81208.380705 events/seconds. 
Processed 181000 events.  Analysis rate = 37478.449891 events/seconds. 
Processed 181500 events.  Analysis rate = 26544.913994 events/seconds. 
Processed 182000 events.  Analysis rate = 139508.928571 events/seconds. 
Processed 182500 events.  Analysis rate = 26899.074672 events/seconds. 
Processed 183000 events.  Analysis rate = 38408.357659 events/seconds. 
Processed 183500 events.  Analysis rate = 59730.020308 events/seconds. 
Processed 184000 events.  Analysis rate = 25532.349487 events/seconds. 
Processed 184500 events.  Analysis rate = 70781.426954 events/seconds. 
Processed 185000 events.  Analysis rate = 34811.668871 events/seconds. 
Processed 185500 events.  Analysis rate = 28110.417721 events/seconds. 
Processed 186000 events.  Analysis rate = 147102.088850 events/seconds. 
Processed 186500 events.  Analysis rate = 24680.388963 events/seconds. 
Processed 187000 events.  Analysis rate = 42383.656862 events/seconds. 
Processed 187500 events.  Analysis rate = 64926.632905 events/seconds. 
Processed 188000 events.  Analysis rate = 24446.291498 events/seconds. 
Processed 188500 events.  Analysis rate = 62790.405626 events/seconds. 
Processed 189000 events.  Analysis rate = 39840.637450 events/seconds. 
Processed 189500 events.  Analysis rate = 25524.529072 events/seconds. 
Processed 190000 events.  Analysis rate = 169548.999661 events/seconds. 
Processed 190500 events.  Analysis rate = 28727.377190 events/seconds. 
Processed 191000 events.  Analysis rate = 33893.709328 events/seconds. 
Processed 191500 events.  Analysis rate = 65316.786414 events/seconds. 
Processed 192000 events.  Analysis rate = 26928.048255 events/seconds. 
Processed 192500 events.  Analysis rate = 56261.955666 events/seconds. 
Processed 193000 events.  Analysis rate = 39793.076005 events/seconds. 
Processed 193500 events.  Analysis rate = 26894.734011 events/seconds. 
Processed 194000 events.  Analysis rate = 91928.663357 events/seconds. 
Processed 194500 events.  Analysis rate = 28674.657338 events/seconds. 
Processed 195000 events.  Analysis rate = 34368.985428 events/seconds. 
Processed 195500 events.  Analysis rate = 100644.122383 events/seconds. 
Processed 196000 events.  Analysis rate = 24448.682216 events/seconds. 
Processed 196500 events.  Analysis rate = 51477.401421 events/seconds. 
Processed 197000 events.  Analysis rate = 46257.748173 events/seconds. 
Processed 197500 events.  Analysis rate = 24421.217153 events/seconds. 
Processed 198000 events.  Analysis rate = 130344.108446 events/seconds. 
Processed 198500 events.  Analysis rate = 31843.077315 events/seconds. 
Processed 199000 events.  Analysis rate = 30277.340438 events/seconds. 
Processed 199500 events.  Analysis rate = 84516.565247 events/seconds. 
Processed 200000 events.  Analysis rate = 26842.755140 events/seconds. 
Processed 200500 events.  Analysis rate = 43044.077135 events/seconds. 
Processed 201000 events.  Analysis rate = 50926.869016 events/seconds. 
Processed 201500 events.  Analysis rate = 26897.627629 events/seconds. 
Processed 202000 events.  Analysis rate = 74493.444577 events/seconds. 
Processed 202500 events.  Analysis rate = 34253.613756 events/seconds. 
Processed 203000 events.  Analysis rate = 27742.329246 events/seconds. 
Processed 203500 events.  Analysis rate = 157381.177211 events/seconds. 
Processed 204000 events.  Analysis rate = 26245.341452 events/seconds. 
Processed 204500 events.  Analysis rate = 38717.670745 events/seconds. 
Processed 205000 events.  Analysis rate = 55432.372506 events/seconds. 
Processed 205500 events.  Analysis rate = 26290.882322 events/seconds. 
Processed 206000 events.  Analysis rate = 62751.004016 events/seconds. 
Processed 206500 events.  Analysis rate = 38485.221675 events/seconds. 
Processed 207000 events.  Analysis rate = 26079.699562 events/seconds. 
Processed 207500 events.  Analysis rate = 169434.090139 events/seconds. 
Processed 208000 events.  Analysis rate = 26570.305027 events/seconds. 
Processed 208500 events.  Analysis rate = 37461.601858 events/seconds. 
Processed 209000 events.  Analysis rate = 75380.672396 events/seconds. 
Processed 209500 events.  Analysis rate = 23800.456969 events/seconds. 
Processed 210000 events.  Analysis rate = 66827.051590 events/seconds. 
Processed 210500 events.  Analysis rate = 40528.491530 events/seconds. 
Processed 211000 events.  Analysis rate = 24745.125210 events/seconds. 
Processed 211500 events.  Analysis rate = 171939.477304 events/seconds. 
Processed 212000 events.  Analysis rate = 26945.462384 events/seconds. 
Processed 212500 events.  Analysis rate = 36905.816357 events/seconds. 
Processed 213000 events.  Analysis rate = 68129.172912 events/seconds. 
Processed 213500 events.  Analysis rate = 26949.819436 events/seconds. 
Processed 214000 events.  Analysis rate = 48885.412593 events/seconds. 
